Unnamed: 0,HomeTeam,AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,FTR
2862.0,23.0,2.0,37.0,22.0,11.0,31.0,1.8790560447128322,-0.8185429643694954,L,W,W,W,W,D,W,L,D,L,1.0,18.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854071794671692,-0.6583531528356865,1.9297573753143458,0.974285009518768,-2.1135195717599196,H
5051.0,15.0,21.0,14.0,21.0,10.0,10.0,0.8535175662606352,1.3763168261098018,D,D,W,W,L,W,L,W,D,W,6.0,7.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505251964674796,1.3525472179006854,-0.3677894155940222,-0.4364606197507561,-0.12465894298231084,
2968.0,11.0,0.0,53.0,58.0,22.0,22.0,1.7798103855050018,1.906914809604337,D,W,W,W,D,D,D,D,D,W,2.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4991192078253035,1.7182176535712637,-0.08141132527016677,0.39785131153997777,-0.24896273228091137,NH
2147.0,15.0,3.0,17.0,31.0,32.0,30.0,-0.1515101426307018,0.42917027181406564,D,W,W,W,W,L,W,W,D,W,4.0,15.0,13.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8861621757347216,0.042080817006055184,-0.4141079588985867,0.37236687436471144,-1.3676968359683164,NH
4310.0,3.0,35.0,17.0,12.0,30.0,16.0,-1.6590517059569387,-0.6119679252664292,L,D,L,D,L,D,L,D,W,D,15.0,18.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3759967455723021,-0.4448062108107835,-0.7537772764653928,-0.7723524362417532,-0.3732665215795119,H
5058.0,22.0,36.0,28.0,9.0,12.0,6.0,0.6740483325169635,0.8340573484637106,L,W,L,W,W,L,D,W,W,L,2.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9960528293953392,0.35599482178297653,-0.11046417501305693,0.5040364664308076,-0.3732665215795119,
3516.0,0.0,36.0,29.0,21.0,13.0,13.0,1.356031420695535,1.3401661942594985,D,W,W,W,W,W,D,W,L,L,4.0,8.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.393599726660313,1.1781505485796755,0.01819844527734846,1.7266826784634544,-0.4975703108781125,NH
4461.0,40.0,38.0,24.0,34.0,53.0,37.0,-1.1763413531687892,-0.1632014610165703,D,L,D,W,D,L,W,W,W,L,16.0,11.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.482482521624728,-0.17234976753768294,-0.7271574239920375,-0.25809048271554336,0.6211637928092925,H
1002.0,34.0,32.0,16.0,27.0,34.0,23.0,-1.0991076967214792,0.342408755390691,L,D,L,L,L,L,D,W,W,D,17.0,11.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0650582795017236,0.2214602483071531,-1.0316885362927797,-0.7562296290509077,0.745467582107893,NH
248.0,18.0,19.0,36.0,35.0,30.0,32.0,0.7099421792700054,0.25564723896731634,L,W,L,W,D,W,W,L,W,D,18.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36611055063429154,0.16166710454012045,0.32698873397444495,-0.30479102768466004,1.8642016857952979,NH
